,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
126,0.6,0.0019,auc,0.85,0.96,10.0,2.0,binary:logistic,0.713462775819,1,0.85
127,0.8,0.0054,auc,0.6,0.02,8.0,4.0,binary:logistic,0.712571253651,1,0.95
128,0.75,0.008,auc,0.8,0.14,11.0,3.0,binary:logistic,0.712546843313,1,0.8
129,0.7,0.0038,auc,0.75,1.22,12.0,1.0,binary:logistic,0.712156263615,1,0.85
130,0.9,0.005,auc,0.7,0.39,15.0,2.0,binary:logistic,0.708285445285,1,0.75
131,0.5,0.0068,auc,0.65,0.05,18.0,6.0,binary:logistic,0.708437510561,1,0.9
132,0.55,0.0023,auc,0.55,0.28,14.0,5.0,binary:logistic,0.710173561251,1,0.95
133,0.5,0.0071,auc,0.85,0.85,9.0,2.0,binary:logistic,0.712541018373,1,0.55
134,0.6,0.0033,auc,0.5,0.74,10.0,3.0,binary:logistic,0.712572270146,1,1.0
135,0.65,0.0048,auc,0.9,0.47,15.0,1.0,binary:logistic,0.708806185454,1,0.7
136,0.55,0.0004,auc,0.75,0.53,8.0,4.0,binary:logistic,0.695525358673,1,0.85
137,0.5,0.0025,auc,0.8,1.3,11.0,4.0,binary:logistic,0.713550134205,1,0.8
138,0.6,0.0058,auc,0.7,0.92,13.0,5.0,binary:logistic,0.711797826413,1,0.9
139,0.55,0.0052,auc,0.65,1.07,16.0,1.0,binary:logistic,0.707295685336,1,0.95
140,0.65,0.0029,auc,0.6,0.65,19.0,3.0,binary:logistic,0.702897862032,1,1.0
141,0.5,0.0042,auc,0.75,0.17,10.0,2.0,binary:logistic,0.714050086645,1,0.8
142,0.55,0.0037,auc,1.0,0.32,8.0,1.0,binary:logistic,0.71396446263,1,0.85
143,0.5,0.0076,auc,0.7,0.76,20.0,3.0,binary:logistic,0.707598850738,1,0.6
144,0.7,0.0006,auc,0.95,0.5,11.0,4.0,binary:logistic,0.704805916424,1,0.9
145,0.5,0.004,auc,0.75,0.11,9.0,1.0,binary:logistic,0.714254971141,1,0.8
146,0.55,0.0039,auc,0.8,0.13,9.0,1.0,binary:logistic,0.714093282119,1,0.75
147,0.55,0.0046,auc,0.8,0.12,9.0,1.0,binary:logistic,0.713628104472,1,0.7
148,0.5,0.0056,auc,0.85,0.08,10.0,1.0,binary:logistic,0.714163277194,1,0.75
149,0.5,0.0073,auc,0.85,0.01,12.0,1.0,binary:logistic,0.712709746095,1,0.75
150,0.5,0.0062,auc,0.85,0.06,8.0,1.0,binary:logistic,0.713436993399,1,0.65
151,0.55,0.0065,auc,0.9,0.2,10.0,1.0,binary:logistic,0.713324920178,1,0.7
152,0.5,0.0056,auc,0.85,0.07,9.0,1.0,binary:logistic,0.714170948511,1,0.75
153,0.5,0.0057,auc,0.9,0.24,9.0,1.0,binary:logistic,0.71383075282,1,0.7
